,RF,MKT,RMRF,SMB,HML,UMD,mom_12_2,mom_12_7,mom_2_1,mom_20_10,mom_20_13,momd_10_5,momd_25_5,momd_7_2,momd_40_10,momd_30_20
2004-01-02,0.00028328136359356826,0.02551426526566685,0.025230983902073283,-0.02219290807239256,6.52650374940033e-05,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-05,0.00028328136359356826,0.06208431421594279,0.061801032852349225,-0.05046332306780605,-0.0016665626574145752,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-06,0.00028328136359356826,0.009416184606461231,0.009132903242867663,-0.0037692199857834066,-0.001286609492763794,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-07,0.00028328136359356826,0.005939659281286676,0.005656377917693108,-0.002337796537520718,-0.0013077404900889323,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-08,0.00028328136359356826,0.010908449342696061,0.010625167979102493,-0.0043586990180596984,-0.0006147498629795272,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-09,0.00028328136359356826,-0.024923332153617837,-0.025206613517211405,0.019718251266052037,0.00041434635870484437,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-12,0.00028328136359356826,0.03131174551120446,0.031028464147610894,-0.023539663742347998,-0.002588013407771086,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0036780216449714374,-0.009420810321109988,0.0015760349848542485
2004-01-13,0.00028328136359356826,-0.0160494566427953,-0.016332738006388868,0.015541829010852222,-0.000523722366522706,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,-0.0010735332423034247,-0.009420810321109988,0.0015760349848542485
2004-01-14,0.00028328136359356826,-0.017484369330569717,-0.017767650694163285,0.01534625688265456,0.0006395470398704406,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.009508449134873753,-0.009420810321109988,0.0015760349848542485
2004-01-15,0.00028328136359356826,-0.0029370734681915026,-0.003220354831785071,0.003204995551162451,0.0001511292913512016,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0014831696126909133,0.0026283727175582345,0.0017091233483484442,-0.009420810321109988,0.0015760349848542485
2004-01-16,0.00028328136359356826,0.007157209752193686,0.006873928388600118,-0.0034831893647075105,-0.00044099305704286965,0.0003880794513786974,0.0,0.0,-0.00024347750685118562,0.0,0.0,0.0013805837615428153,0.0026283727175582345,-0.0020866571964209394,-0.009420810321109988,0.0015760349848542485
