,RF,MKT,RMRF,SMB,HML,UMD
2004-01-02,0.0003056478067011703,0.02551426526566685,0.02520861745896568,-0.02219290807239256,6.52650374940033e-05,
2004-01-05,0.0003056478067011703,0.06208431421594279,0.06177866640924162,-0.05046332306780605,-0.0016665626574145752,
2004-01-06,0.0003056478067011703,0.009416184606461231,0.009110536799760061,-0.0037692199857834066,-0.001286609492763794,
2004-01-07,0.0003056478067011703,0.005939659281286676,0.005634011474585506,-0.002337796537520718,-0.0013077404900889323,
2004-01-08,0.0003056478067011703,0.010908449342696061,0.010602801535994891,-0.0043586990180596984,-0.0006147498629795272,
2004-01-09,0.0003056478067011703,-0.024923332153617837,-0.025228979960319007,0.019718251266052037,0.00041434635870484437,
2004-01-12,0.0003056478067011703,0.03131174551120446,0.031006097704503292,-0.023539663742347998,-0.002588013407771086,
2004-01-13,0.0003056478067011703,-0.0160494566427953,-0.01635510444949647,0.015541829010852222,-0.000523722366522706,
2004-01-14,0.0003056478067011703,-0.017484369330569717,-0.017790017137270887,0.01534625688265456,0.0006395470398704406,
2004-01-15,0.0003056478067011703,-0.0029370734681915026,-0.003242721274892673,0.003204995551162451,0.0001511292913512016,
2004-01-16,0.0003056478067011703,0.007157209752193686,0.006851561945492516,-0.0034831893647075105,-0.00044099305704286965,
2004-01-29,0.0003056478067011703,0.010117946955880874,0.009812299149179703,-0.001231890077520179,-0.0005433141808538838,
2004-01-30,0.0003056478067011703,-0.020784463878668537,-0.021090111685369707,0.02304535080193249,0.0018048101696265515,-0.013218235478502099
2004-02-02,0.0003056478067011703,0.023133990919460203,0.022828343112759032,-0.013457756945339027,-0.0015558390375002623,0.007161467014201421
2004-02-03,0.0003056478067011703,0.01901492500337946,0.018709277196678288,-0.016346230507746494,-0.0004788710864268024,-0.0005096334607202827
2004-02-04,0.0003056478067011703,0.022622036905391846,0.022316389098690676,-0.01487711435903812,-0.0011295433970347696,-0.0010379946525618869
2004-02-05,0.0003056478067011703,0.0017177497240935913,0.001412101917392421,0.001326157741822306,0.00010940496192349088,0.001444722273322347
2004-02-06,0.0003056478067011703,-0.010626508607808602,-0.010932156414509772,0.007455214919177145,0.0007612654117437785,-0.0002587245655826416
